reviews.text,sentiment,class
Delivered on time and it looked good will hook it up next year.,Positive,2
"The price for this tablet is not the only great selling point. The free year of amazon free time is perfect for my son. There are tons of games, books, and videos in this service. My favorite feature is how we can set time limits on screen time. We can even set it to require an amount of learning app or book time per day before access to games is allowed. Great choice for kids.",Positive,2
Perfect item for any place in your house. Love the speaker and the different features it does.,Positive,2
My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,Positive,2
"The Amazon Kindle is a series of e-readers designed and marketed by Amazon. Amazon Kindle devices enable users to browse, buy, download, and read e-books, newspapers, magazines and other digital media via wireless networking to the Kindle Store.",Positive,2
"I'm very happy with my Kindle Fire. Beyond being able to read books, it does all sorts of things and is able to download a huge variety of apps. It also holds a charge very long. The size is perfect and portable, yet the screen is much larger than a smartphone, which I love. I would definitely recommend this tablet to others!",Positive,2
I love to buy stuff at best buy Most of the employees are great at helping With everything i needEspecially JISSELA,Positive,2
"The echo plus is the way to go and with the hue, no need to install a dimmer!",Positive,2
"Reciever of this really likes and and says its a step up from the fire hd7, so I guess that is what counts.",Positive,2
"Bought this with the intention of reading more, it serves it's purpose! I will be purchasing another one soon for my nephew, for his books and learning games.",Positive,2
I I bought this for a friend since she liked mine so much.It is a great way to check emails and read Kindle e-Books.I keep an SD card in mine and store my books on it. You can just drop this in your purse to read on the go.,Positive,2
"I love the Echo Show and this is the 3rd one I have purchased (two were presents for family at Christmas). This one was for me. I love being able to hear music, connect with family via video and ask Alexa questions. Best purchase I could have made!",Positive,2
My mom loves the kindle fire hd 8. She had the first kindle and it was time for an upgrade! Great buy for her birthday present!!,Positive,2
Love my kindle ! I enjoy reading everyday and I can easily throw in my bag with out it adding any weight .,Positive,2
"If you love Amazon, you'll love the Kindle HD8. It's a great size for reading all those books, streaming movies and tv shows, and has great sound for listening to your favorite music. For less than $100, you can't beat the versatility of this little device!",Positive,2
"This tablet is certainly large which makes it cumbersome when reading in a reclining position. However, its terrific for reading or watching films on a plane, desk or otherwise sitting up.",Positive,2
Works as expected. Very easy to use and does not hurt my eyes like a tablet would.,Positive,2
"Bought for mother, she loves it! Good price, in stock, and an easy purchase.",Positive,2
"Awesome and best e-book reader. I love the smooth page translations, bedtime shade and perfect hand held device. Kindle Fire has took their e reader to the next level. Great apps, music, and storage expansion for the price.",Positive,2
"Bought 4 devices for my kids... they report its simple to start up, easy to use and fun!",Positive,2
I love that you and now see your answer on a screen with the Alexa Echo Show!!!,Positive,2
"My wife loves it, replaces a Kindle from like 2003.",Positive,2
This is my 4th Kindle - I use it as a tablet when I travel,Positive,2
Pretty cool product.Features are limited unless you spend a lot more money buying other things you can connect and interface with. But the basic unit with one lightbulb is a pretty good start. Just know going into it that you will be shelling out a lot more to expand the system.,Positive,2
Bought this for my 7 year old so he could play games on those looooooong hockey game car rides -- this tablet was more than enough for what we needed and the app selection is good in the Amazon store! No complaints here!,Positive,2
"When I used to think of amazon echo I think flimsy sounds, Amazon Echo was more of ECHO-Ing, tin can complex... at least from what I have experienced with my friends echos. Echo Plus you ask... Not so much!!! This device has such excellent sound!! One of the best devices I have ever purchased! If I could I would have these all over my house. Forget the dot and the echo 2nd gen. Echo plus is the way to go!!! Beautiful device, sounds is second to none!",Positive,2
My entire family loves this product. We ask her questions and go to sleep with her playing music. You feel like you have company anytime you want,Positive,2
"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",Positive,2
Excellent combination and easy to install and setup.,Positive,2
"We bought this for mother in law, buying another for me.",Positive,2
Got this on sale for a great price and is a great product.,Positive,2
"Good for convenience when other devices are tied up, but the keyboard lags a little slower than I would like.",Positive,2
This is so far the best Kindle I have ever owned. I love the screen and the resolution on it. The device out performs all of the other e readers on the market.,Positive,2
Bought for my 7 yr old. Quality product at an affordable price. Bought on sale for $69.99.,Positive,2
Love my kindle! At the price it is the best value in tech right now!,Positive,2
